material,strength,weight_capacity,biodegradability,co2_emission,recyclability,cost,durability,industry,co2_impact_index,cost_efficiency_index,suitability_score,type
Lithium-ion Battery Material,339.3,23.15,7,179.13,79.97,189.04765,3.76,Refrigerator,8.15,5.7,73.99,Lithium-ion Battery Material
Stainless Steel,69.02,54.04,4,320.38,51.04,67.93604,7.81,Refrigerator,6.13,8.63,17.76,Stainless Steel
Stainless Steel,195.52,11.29,4,430.58,36.64,174.58151,9.08,Laptop,4.55,6.05,42.31,Stainless Steel
Polypropylene,289.78,44.09,3,63.14,48.78,256.29353,7.18,Washing Machine,9.81,4.08,62.28,Polypropylene
Carbon Fiber Composite,251.06,33.95,6,460.03,58.77,164.52659,10.88,Air Conditioner,4.13,6.29,54.6,Carbon Fiber Composite
ABS Plastic,118.71,3.68,3,562.84,39.62,82.56679999999999,2.98,Refrigerator,2.65,8.27,26.36,ABS Plastic
Polypropylene,271.35,20.07,10,246.67,49.23,235.48173,10.67,Electric Vehicle Battery Pack,7.18,4.58,60.18,Polypropylene
Polypropylene,314.7,61.95,2,283.66,35.25,163.80674,9.9,Air Conditioner,6.65,6.31,65.93,Polypropylene
Aluminum Alloy,334.55,24.84,4,258.03,51.04,239.50578,6.18,Laptop,7.02,4.48,71.05,Aluminum Alloy
Low Carbon Steel,306.77,50.59,8,50.0,44.14,210.59965,5.54,Microwave Oven,10.0,5.18,67.08,Low Carbon Steel
Glass,322.99,26.9,2,207.93,78.01,196.62997,7.88,Microwave Oven,7.74,5.52,69.09,Glass
Copper,83.75,13.35,3,129.92,49.76,57.28157,9.43,Tablet,8.85,8.88,20.91,Copper
Stainless Steel,213.64,20.27,1,127.0,74.91,112.68813,8.97,Air Conditioner,8.9,7.55,47.06,Stainless Steel
Lithium-ion Battery Material,205.64,31.77,9,341.63,68.38,140.0098,7.62,Washing Machine,5.82,6.89,47.04,Lithium-ion Battery Material
Silicon,131.64,14.51,4,364.69,19.91,104.84542,5.19,Tablet,5.49,7.74,29.22,Silicon
Stainless Steel,417.91,42.94,6,425.78,53.33,222.83114000000003,9.41,Smartphone,4.62,4.89,87.91,Stainless Steel
Aluminum Alloy,469.27,42.31,5,144.88,39.02,312.47965,9.67,Refrigerator,8.64,2.72,98.25,Aluminum Alloy
Lithium-ion Battery Material,345.18,20.13,9,428.94,41.27,205.72589,6.04,Electric Vehicle Battery Pack,4.57,5.3,73.89,Lithium-ion Battery Material
Lithium-ion Battery Material,88.23,28.04,5,142.83,42.33,92.11287,9.55,Refrigerator,8.67,8.04,22.15,Lithium-ion Battery Material
Copper,267.93,40.81,8,351.91,53.84,178.90822,10.18,Washing Machine,5.67,5.95,58.74,Copper
Copper,124.98,28.11,3,366.85,22.91,130.50508,8.85,Hair Dryer,5.46,7.12,27.68,Copper
Glass,400.34,26.39,10,424.41,55.66,246.87355,4.93,Washing Machine,4.64,4.31,85.67,Glass
Copper,495.05,38.07,6,349.08,82.6,300.50014,5.76,Tablet,5.71,3.01,104.43,Copper
Carbon Fiber Composite,46.06,32.35,9,249.47,8.15,99.23211,6.49,Refrigerator,7.14,7.87,13.58,Carbon Fiber Composite
ABS Plastic,215.67,28.35,4,383.44,68.52,151.03282,7.68,Electric Vehicle Battery Pack,5.22,6.62,47.43,ABS Plastic
Silicon,186.95,24.48,4,435.86,27.0,147.09476999999998,12.69,Microwave Oven,4.47,6.72,40.29,Silicon
Glass,90.9,11.52,7,288.71,92.5,87.23465,7.81,Smartphone,6.58,8.16,24.37,Glass
Low Carbon Steel,163.33,37.72,1,397.24,66.48,97.92103,8.28,Smartphone,5.02,7.9,35.96,Low Carbon Steel
Silicon,190.9,20.19,10,377.38,47.13,179.68272000000002,4.18,Refrigerator,5.31,5.93,43.66,Silicon
ABS Plastic,238.92,3.89,7,50.0,37.38,137.55841999999998,8.74,Electric Vehicle Battery Pack,10.0,6.95,53.01,ABS Plastic
Carbon Fiber Composite,10.0,28.95,8,147.91,26.65,25.91973,3.65,Laptop,8.6,9.64,6.92,Carbon Fiber Composite
Copper,83.37,32.85,5,179.91,58.84,56.204460000000005,7.38,Hair Dryer,8.14,8.91,21.57,Copper
Aluminum Alloy,311.63,7.2,3,396.61,45.01,242.22673,7.52,LED TV,5.03,4.42,65.58,Aluminum Alloy
Polypropylene,220.78,1.0,9,335.99,69.55,132.62227,7.53,Laptop,5.9,7.07,50.12,Polypropylene
Carbon Fiber Composite,151.09,46.03,4,259.88,49.08,178.34810000000002,8.06,Tablet,6.99,5.96,34.29,Carbon Fiber Composite
Carbon Fiber Composite,407.77,28.11,8,264.11,25.35,235.83398,10.96,Microwave Oven,6.93,4.57,86.1,Carbon Fiber Composite
Lithium-ion Battery Material,210.28,6.11,10,50.0,59.79,179.806,7.3,Microwave Oven,10.0,5.93,48.85,Lithium-ion Battery Material
Glass,279.74,31.33,6,320.52,14.11,221.11628,7.28,Microwave Oven,6.12,4.93,59.4,Glass
Stainless Steel,300.16,26.5,7,377.62,46.77,189.25995,7.73,Washing Machine,5.31,5.7,64.6,Stainless Steel
Carbon Fiber Composite,336.58,12.31,9,50.0,56.15,237.04463,7.59,LED TV,10.0,4.54,73.7,Carbon Fiber Composite
Copper,367.28,43.77,4,506.45,19.53,239.54,11.71,Laptop,3.46,4.48,75.93,Copper
Lithium-ion Battery Material,116.81,25.79,6,416.97,86.37,87.07912,7.25,Hair Dryer,4.74,8.16,28.7,Lithium-ion Battery Material
Silicon,83.98,23.12,6,365.04,56.89,79.12610000000001,7.4,Refrigerator,5.49,8.36,21.4,Silicon
Silicon,306.75,19.85,8,471.33,51.57,227.54806,10.31,Electric Vehicle Battery Pack,3.96,4.77,66.09,Silicon
Silicon,264.62,30.97,5,390.14,12.56,187.83487,6.09,LED TV,5.13,5.73,55.83,Silicon
Aluminum Alloy,571.36,29.48,8,395.29,95.5,330.04939,7.27,Tablet,5.05,2.3,120.55,Aluminum Alloy
ABS Plastic,11.32,25.95,5,258.62,18.69,14.06661,5.68,Washing Machine,7.01,9.93,5.73,ABS Plastic
ABS Plastic,32.7,43.84,6,478.16,31.93,87.77613000000001,6.37,Electric Vehicle Battery Pack,3.87,8.15,10.07,ABS Plastic
Carbon Fiber Composite,328.91,13.76,4,472.13,56.11,228.48229000000003,6.57,Washing Machine,3.95,4.75,69.46,Carbon Fiber Composite
Stainless Steel,301.52,27.62,6,209.42,30.21,246.09928,11.65,Electric Vehicle Battery Pack,7.72,4.32,64.55,Stainless Steel
Carbon Fiber Composite,136.89,27.16,3,349.62,68.71,181.42469000000003,8.17,Microwave Oven,5.71,5.89,31.48,Carbon Fiber Composite
Glass,285.65,13.13,2,217.39,42.88,187.06745,5.91,LED TV,7.6,5.75,60.54,Glass
Low Carbon Steel,449.78,30.71,8,501.41,42.02,267.43513,8.53,Refrigerator,3.53,3.81,94.32,Low Carbon Steel
Aluminum Alloy,128.34,41.69,8,426.77,75.44,132.94586,7.09,LED TV,4.6,7.06,31.25,Aluminum Alloy
Copper,107.5,10.87,7,346.22,44.73,118.95787,9.47,Refrigerator,5.76,7.4,26.09,Copper
Copper,219.82,35.6,9,297.13,28.01,137.37868,6.91,Electric Vehicle Battery Pack,6.46,6.95,48.8,Copper
Stainless Steel,688.92,30.62,9,335.74,56.38,425.16112,8.09,Smartphone,5.91,0.0,143.36,Stainless Steel
Low Carbon Steel,279.08,17.29,5,425.23,52.59,222.58773,9.44,Air Conditioner,4.62,4.89,59.82,Low Carbon Steel
Low Carbon Steel,118.39,22.74,7,200.53,57.65,121.84559,8.42,Washing Machine,7.84,7.33,29.08,Low Carbon Steel
Polypropylene,325.62,11.04,10,142.89,87.54,221.21656,5.47,Hair Dryer,8.67,4.93,72.48,Polypropylene
Carbon Fiber Composite,239.93,39.9,2,370.16,56.18,175.46362000000002,7.06,Smartphone,5.41,6.03,51.35,Carbon Fiber Composite
Low Carbon Steel,166.6,40.87,10,312.28,48.99,144.72434,4.46,Electric Vehicle Battery Pack,6.24,6.77,39.04,Low Carbon Steel
Copper,286.12,64.49,8,309.0,30.99,231.69134000000005,10.58,Washing Machine,6.29,4.67,61.81,Copper
Silicon,231.58,1.0,10,244.31,47.26,168.75,9.96,LED TV,7.22,6.19,52.18,Silicon
ABS Plastic,170.55,27.35,7,434.24,46.19,103.95119,10.16,Smartphone,4.49,7.76,38.49,ABS Plastic
Polypropylene,340.42,10.77,8,158.68,24.11,246.20448,9.76,Hair Dryer,8.44,4.32,72.9,Polypropylene
Polypropylene,135.71,33.39,9,77.08,33.81,105.33552000000002,6.72,Microwave Oven,9.61,7.72,32.78,Polypropylene
Carbon Fiber Composite,266.6,23.25,5,332.13,58.21,141.27156,6.05,Electric Vehicle Battery Pack,5.96,6.86,57.76,Carbon Fiber Composite
Polypropylene,400.8,22.21,2,460.52,38.69,223.26628,8.9,Microwave Oven,4.12,4.88,82.74,Polypropylene
Silicon,216.39,6.2,7,390.53,43.99,160.88028,8.28,LED TV,5.12,6.38,47.72,Silicon
Lithium-ion Battery Material,244.99,51.44,9,223.84,71.52,129.35009,4.57,Laptop,7.51,7.14,55.35,Lithium-ion Battery Material
Copper,370.08,32.81,4,238.92,33.47,266.5474,6.31,Hair Dryer,7.29,3.83,77.68,Copper
ABS Plastic,64.19,30.67,5,172.91,26.6,107.50983,7.33,Air Conditioner,8.24,7.67,16.78,ABS Plastic
Silicon,393.96,9.93,4,319.02,58.54,222.15859,7.27,Refrigerator,6.15,4.9,82.98,Silicon
Aluminum Alloy,151.08,1.0,9,419.06,82.06,124.93567,8.99,Hair Dryer,4.71,7.25,36.32,Aluminum Alloy
Polypropylene,157.55,43.69,4,396.12,83.06,92.59472,9.84,Electric Vehicle Battery Pack,5.04,8.03,36.21,Polypropylene
Copper,254.15,16.84,7,411.91,59.46,158.11509,9.0,Washing Machine,4.81,6.45,55.68,Copper
Carbon Fiber Composite,200.25,28.56,7,118.39,44.07,106.51301,6.12,Smartphone,9.02,7.7,45.28,Carbon Fiber Composite
Stainless Steel,269.95,25.51,6,478.42,67.8,158.59318000000002,9.76,Tablet,3.86,6.44,58.6,Stainless Steel
Glass,341.64,20.9,2,254.93,75.27,212.67475,7.4,Washing Machine,7.06,5.13,72.6,Glass
Carbon Fiber Composite,444.38,23.6,3,367.7,46.71,257.66776,8.63,Smartphone,5.45,4.05,92.27,Carbon Fiber Composite
Glass,233.57,33.01,8,523.94,84.59,122.06798,7.22,Microwave Oven,3.21,7.32,52.29,Glass
Stainless Steel,266.97,26.78,2,173.09,46.72,222.88411,6.79,LED TV,8.24,4.89,57.04,Stainless Steel
Carbon Fiber Composite,482.16,20.39,6,505.36,71.53,257.53139,7.8,Hair Dryer,3.48,4.05,101.07,Carbon Fiber Composite
Polypropylene,55.25,1.92,4,271.99,28.14,55.36419,7.33,Washing Machine,6.82,8.93,14.46,Polypropylene
Low Carbon Steel,368.07,22.4,1,293.56,81.08,190.74314,6.26,Smartphone,6.51,5.66,77.65,Low Carbon Steel
Stainless Steel,354.85,5.31,5,603.17,73.75,189.75974,4.9,Refrigerator,2.07,5.69,75.1,Stainless Steel
Stainless Steel,220.88,11.41,6,348.82,73.46,132.93998,6.17,LED TV,5.72,7.06,49.32,Stainless Steel
Low Carbon Steel,233.52,22.67,8,126.64,74.6,124.85265,7.59,Hair Dryer,8.9,7.25,53.12,Low Carbon Steel
Glass,216.18,30.72,6,453.62,54.42,154.787,9.99,Refrigerator,4.22,6.53,47.51,Glass
Silicon,10.0,10.82,10,262.22,52.15,54.42,6.54,Air Conditioner,6.96,8.95,7.96,Silicon
Stainless Steel,231.92,15.85,7,338.97,90.05,184.84483,9.54,Air Conditioner,5.86,5.8,52.36,Stainless Steel
Copper,299.37,27.83,7,541.21,72.62,232.23338,5.93,Washing Machine,2.96,4.66,64.74,Copper
Carbon Fiber Composite,276.77,17.49,4,334.81,88.73,219.78998,11.19,Refrigerator,5.92,4.96,60.4,Carbon Fiber Composite
Copper,238.24,12.63,6,50.0,43.55,143.58683000000002,10.08,Refrigerator,10.0,6.8,52.75,Copper
Copper,90.5,26.6,9,354.85,74.19,60.46762,7.63,Laptop,5.63,8.81,24.15,Copper
ABS Plastic,367.88,19.69,2,198.63,63.03,189.93252,8.23,Refrigerator,7.87,5.68,77.64,ABS Plastic
Silicon,200.0,20.76,9,292.49,59.86,182.89375,7.56,Hair Dryer,6.53,5.85,45.8,Silicon
Carbon Fiber Composite,10.0,23.94,8,249.72,41.19,52.329240000000006,4.51,Microwave Oven,7.14,9.0,7.06,Carbon Fiber Composite
ABS Plastic,366.73,8.23,10,328.6,66.8,237.84072000000003,4.24,Laptop,6.01,4.52,79.55,ABS Plastic
Low Carbon Steel,234.87,29.73,9,275.82,72.46,122.15607,5.74,Air Conditioner,6.76,7.32,53.2,Low Carbon Steel
Glass,240.17,31.85,5,244.94,66.47,142.74665,6.21,Tablet,7.21,6.82,52.97,Glass
Lithium-ion Battery Material,98.27,11.07,3,469.83,78.26,52.99407,8.73,Smartphone,3.98,8.99,23.7,Lithium-ion Battery Material
Stainless Steel,154.85,7.06,4,341.17,33.91,107.77993,4.61,Electric Vehicle Battery Pack,5.83,7.67,34.35,Stainless Steel
ABS Plastic,214.21,34.68,8,316.07,77.31,192.81816,9.9,Tablet,6.19,5.61,48.8,ABS Plastic
Silicon,271.29,45.63,4,239.39,94.84,149.125,12.07,Air Conditioner,7.29,6.67,59.76,Silicon
Aluminum Alloy,321.05,2.2,8,199.17,69.87,189.8327,8.68,Washing Machine,7.86,5.68,70.28,Aluminum Alloy
Polypropylene,309.16,20.13,3,427.67,5.0,205.24496,9.81,Refrigerator,4.59,5.31,63.8,Polypropylene
Silicon,119.0,26.61,6,225.02,75.44,100.12314,7.32,Microwave Oven,7.49,7.85,29.36,Silicon
Polypropylene,314.46,18.67,9,130.79,66.31,231.74814,9.12,Refrigerator,8.84,4.67,69.35,Polypropylene
Stainless Steel,512.29,31.57,8,425.29,40.42,276.81654999999995,8.24,Electric Vehicle Battery Pack,4.62,3.58,106.99,Stainless Steel
Stainless Steel,207.15,6.9,3,180.6,56.62,149.94563,8.98,Tablet,8.13,6.65,45.65,Stainless Steel
Carbon Fiber Composite,270.08,40.93,8,251.47,73.22,178.27814999999998,8.03,Smartphone,7.11,5.96,60.03,Carbon Fiber Composite
Stainless Steel,207.5,12.87,5,483.6,52.75,160.23102,6.13,Refrigerator,3.79,6.4,45.34,Stainless Steel
Low Carbon Steel,249.36,1.0,4,140.52,5.0,163.93722000000002,8.66,Tablet,8.7,6.31,52.96,Low Carbon Steel
Polypropylene,159.22,50.79,6,380.64,79.34,103.33349,7.74,Washing Machine,5.26,7.77,37.08,Polypropylene
Copper,152.26,2.13,3,320.28,12.68,99.46555,7.75,Microwave Oven,6.13,7.87,32.96,Copper
ABS Plastic,112.95,2.15,8,220.29,76.01,133.55285,7.61,Electric Vehicle Battery Pack,7.56,7.04,28.78,ABS Plastic
Low Carbon Steel,131.89,20.31,1,183.18,62.55,122.03372,5.49,Refrigerator,8.09,7.32,30.17,Low Carbon Steel
Polypropylene,114.7,26.38,4,507.62,82.7,103.50582,6.35,Electric Vehicle Battery Pack,3.44,7.77,27.31,Polypropylene
Stainless Steel,237.13,26.48,1,392.37,16.14,158.45257,7.91,Washing Machine,5.09,6.44,49.23,Stainless Steel
Low Carbon Steel,194.12,31.66,4,257.92,82.42,170.50386999999998,9.78,Tablet,7.02,6.15,43.9,Low Carbon Steel
Silicon,442.49,37.99,9,240.99,97.95,221.745,12.77,Refrigerator,7.26,4.91,95.59,Silicon
Low Carbon Steel,10.0,20.65,4,406.11,47.25,107.3253,9.4,Electric Vehicle Battery Pack,4.9,7.68,5.6,Low Carbon Steel
Copper,373.01,14.61,4,230.29,72.36,216.60668,5.9,Refrigerator,7.42,5.04,79.46,Copper
Polypropylene,252.09,41.57,5,243.37,44.33,134.87679,10.52,Electric Vehicle Battery Pack,7.23,7.01,54.69,Polypropylene
Aluminum Alloy,237.04,28.47,2,337.3,78.49,120.55245,6.92,Electric Vehicle Battery Pack,5.88,7.36,51.54,Aluminum Alloy
Polypropylene,320.97,15.01,1,459.78,32.7,214.64544000000004,8.32,LED TV,4.13,5.08,66.3,Polypropylene
Stainless Steel,393.46,23.66,1,541.54,18.83,226.38591,6.12,Air Conditioner,2.96,4.8,80.15,Stainless Steel
Polypropylene,235.0,19.03,4,269.14,39.17,172.49008,8.89,Laptop,6.86,6.1,50.75,Polypropylene
Copper,157.39,19.83,1,649.44,54.3,201.57299,8.34,Air Conditioner,1.41,5.4,33.69,Copper
Copper,10.0,40.29,5,301.84,8.39,58.30414,9.05,LED TV,6.39,8.86,5.03,Copper
Silicon,271.14,40.79,9,50.0,72.73,194.07182,8.49,Air Conditioner,10.0,5.58,61.11,Silicon
Glass,201.25,36.58,1,234.97,68.04,177.55134,9.25,Smartphone,7.35,5.98,44.06,Glass
Carbon Fiber Composite,294.37,41.4,6,137.01,19.29,159.97728,5.1,Tablet,8.75,6.4,63.0,Carbon Fiber Composite
Low Carbon Steel,306.23,39.08,8,70.53,58.62,222.80809,5.01,LED TV,9.71,4.89,67.35,Low Carbon Steel
Low Carbon Steel,293.07,22.47,10,332.49,74.36,211.96784,6.3,Laptop,5.95,5.15,65.03,Low Carbon Steel
Stainless Steel,236.17,29.85,3,227.65,36.84,141.75511,7.76,Air Conditioner,7.45,6.84,50.73,Stainless Steel
Copper,242.67,33.05,3,50.0,30.75,164.01497,6.32,Tablet,10.0,6.31,52.36,Copper
Polypropylene,374.67,10.31,5,298.32,46.74,222.71601,6.12,Washing Machine,6.44,4.89,79.12,Polypropylene
ABS Plastic,232.25,45.52,8,50.0,51.39,146.84574,7.8,Laptop,10.0,6.72,52.39,ABS Plastic
Stainless Steel,249.45,12.9,3,551.58,28.7,253.24661,7.13,Laptop,2.81,4.15,52.21,Stainless Steel
Polypropylene,254.76,25.85,8,132.52,64.72,207.86172,6.78,Microwave Oven,8.82,5.25,57.06,Polypropylene
Lithium-ion Battery Material,551.73,24.7,7,468.48,91.55,341.2332,11.52,Tablet,4.0,2.03,115.99,Lithium-ion Battery Material
Polypropylene,297.33,34.17,4,185.03,68.47,186.33364,6.13,Electric Vehicle Battery Pack,8.07,5.77,64.33,Polypropylene
Polypropylene,261.49,33.7,1,342.79,71.89,206.89835,6.75,Electric Vehicle Battery Pack,5.81,5.27,55.92,Polypropylene
Silicon,44.96,45.22,8,436.39,31.38,51.85529,5.98,Refrigerator,4.46,9.02,13.23,Silicon
Silicon,351.17,1.0,3,421.5,46.45,247.91068,11.08,Washing Machine,4.68,4.28,73.46,Silicon
Aluminum Alloy,300.12,27.97,7,50.0,62.84,159.16974,8.86,Smartphone,10.0,6.42,66.01,Aluminum Alloy
Polypropylene,474.07,25.4,8,402.73,73.26,303.16147,8.69,LED TV,4.95,2.95,100.4,Polypropylene
Stainless Steel,303.99,4.85,8,411.17,46.55,202.28601,7.43,Air Conditioner,4.83,5.38,65.56,Stainless Steel
Glass,185.94,26.95,10,140.54,71.94,122.34224,8.84,Washing Machine,8.7,7.31,44.09,Glass
Low Carbon Steel,205.19,17.08,5,341.47,72.73,139.96486,9.83,Air Conditioner,5.82,6.89,45.88,Low Carbon Steel
Lithium-ion Battery Material,373.05,41.17,5,287.07,24.27,225.34517,7.74,Air Conditioner,6.6,4.83,78.16,Lithium-ion Battery Material
Glass,400.28,9.67,7,155.48,61.06,260.52719,9.43,Tablet,8.49,3.98,85.69,Glass
Stainless Steel,328.93,30.1,3,213.04,42.33,191.14594,7.03,LED TV,7.66,5.65,69.49,Stainless Steel
Polypropylene,137.73,15.12,2,125.12,84.29,195.25399,8.76,Laptop,8.92,5.55,32.46,Polypropylene
ABS Plastic,112.77,13.25,1,589.36,65.45,161.14829,9.15,Refrigerator,2.27,6.38,25.27,ABS Plastic
Glass,299.82,19.45,2,220.5,48.21,194.88846,9.0,Electric Vehicle Battery Pack,7.56,5.56,63.52,Glass
Aluminum Alloy,310.1,45.87,2,268.16,55.42,204.29305,8.07,Microwave Oven,6.87,5.33,65.66,Aluminum Alloy
ABS Plastic,213.6,33.89,10,357.47,63.02,149.15232999999998,10.06,Microwave Oven,5.59,6.67,48.73,ABS Plastic
Low Carbon Steel,143.74,28.5,9,178.54,21.14,102.33378,4.19,Air Conditioner,8.16,7.8,33.71,Low Carbon Steel
Copper,525.19,34.14,2,250.22,64.6,333.09610000000004,8.65,Air Conditioner,7.13,2.22,109.0,Copper
Polypropylene,423.98,26.31,5,144.4,43.46,274.61776000000003,10.35,Laptop,8.65,3.64,89.33,Polypropylene
Low Carbon Steel,104.0,41.62,10,364.08,92.23,79.26489,7.63,Hair Dryer,5.5,8.35,27.67,Low Carbon Steel
Carbon Fiber Composite,345.02,19.07,9,346.36,83.28,259.42872,10.85,Smartphone,5.75,4.0,75.35,Carbon Fiber Composite
Polypropylene,251.7,2.78,6,50.0,54.29,173.87723,6.97,Refrigerator,10.0,6.07,55.77,Polypropylene
Low Carbon Steel,171.31,53.64,8,144.34,78.26,142.77164000000002,7.94,Microwave Oven,8.65,6.82,40.74,Low Carbon Steel
Low Carbon Steel,10.0,16.15,1,349.66,34.49,18.82721,6.38,Refrigerator,5.71,9.81,4.48,Low Carbon Steel
Copper,153.71,42.43,3,552.62,15.0,124.25599,6.51,LED TV,2.8,7.27,32.65,Copper
Lithium-ion Battery Material,254.61,1.0,10,298.46,51.44,141.28544,7.25,Air Conditioner,6.44,6.86,56.75,Lithium-ion Battery Material
Low Carbon Steel,249.03,44.44,9,337.12,80.24,181.99118,10.15,Refrigerator,5.89,5.87,56.09,Low Carbon Steel
Carbon Fiber Composite,407.22,13.06,3,561.97,71.17,243.13354,10.05,Electric Vehicle Battery Pack,2.66,4.4,85.01,Carbon Fiber Composite
Copper,162.01,1.0,4,175.02,63.96,86.56539000000001,5.43,Refrigerator,8.21,8.18,37.16,Copper
Lithium-ion Battery Material,252.69,26.32,4,210.96,37.2,210.67326,9.62,Tablet,7.69,5.18,54.39,Lithium-ion Battery Material
Silicon,289.52,20.42,7,269.29,46.98,149.54058999999998,7.94,LED TV,6.86,6.66,62.79,Silicon
Glass,264.25,50.34,3,318.74,74.22,193.20645,9.13,Hair Dryer,6.15,5.6,57.21,Glass
Glass,111.39,19.16,4,503.37,36.85,103.25519,7.93,Electric Vehicle Battery Pack,3.5,7.77,25.28,Glass
ABS Plastic,163.89,12.39,2,210.22,38.33,186.08524,9.76,LED TV,7.7,5.77,36.07,ABS Plastic
Copper,312.79,17.4,8,449.34,20.82,222.87436,8.74,Refrigerator,4.28,4.89,66.44,Copper
Copper,265.43,32.07,2,167.97,59.52,259.85215,8.45,Electric Vehicle Battery Pack,8.31,3.99,57.13,Copper
Carbon Fiber Composite,332.68,29.38,9,317.23,55.46,215.2829,9.74,LED TV,6.17,5.07,72.13,Carbon Fiber Composite
Low Carbon Steel,319.48,18.03,3,427.14,27.46,179.54941,8.44,Electric Vehicle Battery Pack,4.6,5.93,66.54,Low Carbon Steel
Lithium-ion Battery Material,182.02,1.0,6,501.07,96.8,123.98467,6.02,Hair Dryer,3.54,7.27,41.82,Lithium-ion Battery Material
Polypropylene,240.29,20.77,9,204.47,26.6,218.12216,11.09,Smartphone,7.79,5.0,53.11,Polypropylene
Lithium-ion Battery Material,307.63,22.57,8,466.98,71.85,216.98478,7.87,Smartphone,4.03,5.03,66.89,Lithium-ion Battery Material
Copper,382.7,11.12,8,365.11,36.77,225.39338,8.33,Air Conditioner,5.49,4.82,81.14,Copper
Silicon,426.52,46.51,2,50.0,43.95,232.48101,6.4,LED TV,10.0,4.65,89.22,Silicon
Carbon Fiber Composite,135.99,38.46,4,373.62,87.28,93.84735,6.54,Microwave Oven,5.36,8.0,32.09,Carbon Fiber Composite
Low Carbon Steel,364.16,30.68,3,275.03,28.75,242.9338,10.21,Microwave Oven,6.78,4.4,75.95,Low Carbon Steel
Aluminum Alloy,402.71,42.45,4,442.77,57.58,270.77799,10.92,Microwave Oven,4.37,3.73,84.34,Aluminum Alloy
ABS Plastic,202.19,36.29,3,250.0,64.74,145.32162,7.19,Smartphone,7.13,6.76,44.71,ABS Plastic
Aluminum Alloy,436.76,46.5,7,50.0,53.11,272.3633,6.63,Air Conditioner,10.0,3.69,93.05,Aluminum Alloy
Lithium-ion Battery Material,12.75,1.0,1,613.53,15.74,60.02327,8.05,Laptop,1.93,8.82,3.71,Lithium-ion Battery Material
Lithium-ion Battery Material,637.14,29.08,5,538.62,75.88,378.66525,8.24,Hair Dryer,3.0,1.12,131.8,Lithium-ion Battery Material
ABS Plastic,295.58,13.43,6,400.29,32.1,208.06468,9.08,Washing Machine,4.98,5.24,62.88,ABS Plastic
Lithium-ion Battery Material,372.02,22.57,2,479.28,60.38,232.19534,7.04,Microwave Oven,3.85,4.66,77.59,Lithium-ion Battery Material
Aluminum Alloy,385.82,19.37,5,261.46,99.18,244.5997,8.73,Refrigerator,6.97,4.36,83.03,Aluminum Alloy
ABS Plastic,168.93,26.15,6,566.48,22.58,131.02338000000003,4.78,Tablet,2.6,7.1,36.78,ABS Plastic
ABS Plastic,442.52,27.63,6,146.29,74.81,239.14981,11.7,Refrigerator,8.62,4.49,94.27,ABS Plastic
Carbon Fiber Composite,261.74,25.3,3,291.83,14.01,183.73817,10.56,Washing Machine,6.54,5.83,54.98,Carbon Fiber Composite
Copper,179.09,18.93,8,50.0,49.63,155.90146,5.78,Microwave Oven,10.0,6.5,41.71,Copper
Copper,324.13,37.41,8,293.13,79.96,176.20735,9.8,Washing Machine,6.52,6.01,70.93,Copper
Carbon Fiber Composite,373.53,52.72,9,478.58,46.91,252.2184,7.6,Hair Dryer,3.86,4.18,79.59,Carbon Fiber Composite
Stainless Steel,252.33,23.46,1,188.57,37.94,156.41753,9.69,Washing Machine,8.01,6.49,53.51,Stainless Steel
Aluminum Alloy,209.3,16.53,6,240.4,76.01,111.48357,8.7,LED TV,7.27,7.58,47.39,Aluminum Alloy
Low Carbon Steel,300.24,5.6,5,112.49,48.47,197.26981,6.34,Washing Machine,9.1,5.5,64.82,Low Carbon Steel
Silicon,236.24,37.3,10,229.84,75.37,177.72853999999998,6.4,Laptop,7.42,5.98,53.99,Silicon
Silicon,16.08,33.94,2,346.8,30.78,88.22534999999999,6.58,Electric Vehicle Battery Pack,5.75,8.14,5.89,Silicon
Aluminum Alloy,248.72,33.78,5,391.74,79.67,172.88652,6.57,Hair Dryer,5.1,6.09,54.65,Aluminum Alloy
Polypropylene,180.51,19.88,2,347.88,13.33,97.60961,8.45,LED TV,5.73,7.91,38.25,Polypropylene
Polypropylene,268.93,18.54,3,601.27,69.68,151.50234,5.06,Refrigerator,2.1,6.61,57.2,Polypropylene
Carbon Fiber Composite,317.29,31.71,10,252.57,67.01,172.99130000000002,7.03,Tablet,7.1,6.09,69.89,Carbon Fiber Composite
Silicon,193.91,31.97,10,483.64,37.44,114.41532,8.38,Tablet,3.79,7.5,43.66,Silicon
Stainless Steel,388.83,14.69,2,397.26,51.73,273.95932,5.6,Laptop,5.02,3.65,80.92,Stainless Steel
Silicon,354.25,35.86,9,427.89,90.02,179.25233,6.59,Smartphone,4.59,5.94,77.17,Silicon
ABS Plastic,261.16,31.08,2,173.17,70.06,146.00987,4.78,Microwave Oven,8.24,6.74,56.58,ABS Plastic
Stainless Steel,226.18,22.24,1,192.47,34.07,151.12621,7.25,Laptop,7.96,6.62,48.15,Stainless Steel
Silicon,418.42,31.87,10,485.91,46.79,225.03275,4.57,Smartphone,3.75,4.83,88.84,Silicon
Low Carbon Steel,354.49,38.15,3,253.23,77.73,209.36263,10.5,Laptop,7.09,5.21,75.55,Low Carbon Steel
Copper,150.87,29.56,2,50.0,81.86,99.93294,8.47,Washing Machine,10.0,7.85,35.23,Copper
